,mean,median,std,min_val,max_val,kurtosis,skewness,fft_vals,fft_magnitude,fft_mean,fft_std,label
10,-0.0010239609477201842,-0.00066359352334875,0.01561439996758662,-0.0658081429855083,0.057921047809517,1.0540862047942818,-0.15411634461778606,"[-4.18185651-0.j          2.95002322-0.20597173j -0.49562346+0.17131797j
 ... -0.81957282-4.75993101j -0.49562346-0.17131797j
  2.95002322+0.20597173j]",[4.18185651 2.95720499 0.52439723 ... 4.82997338 0.52439723 2.95720499],0.6104725276355403,0.792037431566384,deep
11,0.0008378516741400433,0.0002568768633441,0.01562549157442305,-0.0731293027547052,0.0763482141258942,0.8983940379127593,0.1997259743277075,"[ 3.42178624-0.j          1.45268285-3.87294186j -0.10495829-0.11509864j
 ... -2.07047318-0.7544276j  -0.10495829+0.11509864j
  1.45268285+3.87294186j]",[3.42178624 4.13641948 0.15576886 ... 2.20363795 0.15576886 4.13641948],0.5718630345404514,0.8203491145397708,deep
12,0.0003541078542332663,-0.00042846608744029997,0.01564393141118291,-0.0582948756067671,0.057224940722603,0.666517724903859,0.12815143197924747,"[ 1.44617648-0.j         -0.14086611+0.49680443j -1.75336421-0.99518698j
 ...  0.88275942+1.98453297j -1.75336421+0.99518698j
 -0.14086611-0.49680443j]",[1.44617648 0.5163893  2.01610594 ... 2.17201181 2.01610594 0.5163893 ],0.4847890855661977,0.8746310893833407,deep
13,-0.0004838003513103378,-0.0009364289057801,0.015640457780713997,-0.0665361514244575,0.0748730142513618,1.3666235056607485,0.3592215725377455,"[-1.97584063-0.j          4.36468664+2.03122275j -1.96011434+1.97395949j
 ... -1.88719181+2.40350143j -1.96011434-1.97395949j
  4.36468664-2.03122275j]",[1.97584063 4.81418273 2.78182751 ... 3.05586519 2.78182751 4.81418273],0.5386543203975988,0.8425268678902773,deep
14,-0.0012573846797397504,-0.0016445763761855502,0.015597338431199754,-0.0642178744768969,0.0559896694088021,0.7106779705866706,0.09456374728347663,"[-5.13515903-0.j          2.1930834 +1.93753072j -1.49471091-1.21038022j
 ... -3.39000886+2.02652164j -1.49471091+1.21038022j
  2.1930834 -1.93753072j]",[5.13515903 2.92636978 1.92332549 ... 3.94955061 1.92332549 2.92636978],0.7768859742722365,0.6296413129545085,deep
15,-0.00102324589155687,-0.00056772041136625,0.015614446843088521,-0.0616910948854352,0.048054853155729,0.6272537828743601,-0.40209753524344805,"[-4.17893622-0.j          0.9292356 +4.20751913j -4.11941513-3.71223959j
 ...  2.36241036-1.0813559j  -4.11941513+3.71223959j
  0.9292356 -4.20751913j]",[4.17893622 4.30890891 5.54529564 ... 2.5981365  5.54529564 4.30890891],0.2951861685618569,0.9554397552382727,deep
16,-0.000799186649368691,0.0001397411160729,0.01562751685552429,-0.0744304086298328,0.0618963122081483,0.9946931136631165,-0.21234798155339019,"[-3.26387828-0.j          2.56752013-0.28663356j  1.28580603+1.39844097j
 ...  3.88492924-1.6929126j   1.28580603-1.39844097j
  2.56752013+0.28663356j]",[3.26387828 2.58347022 1.89971953 ... 4.23776218 1.89971953 2.58347022],0.4751363154051973,0.8799122011787156,deep
17,-0.0019216538636972202,-0.00213530903414745,0.015529495445711127,-0.0613805408276599,0.0731617800245424,0.4569971014234513,0.15797329830403598,"[-7.84803438-0.j          1.1705956 -0.06773631j -3.45722493-0.38203605j
 ...  2.11931888-2.37622668j -3.45722493+0.38203605j
  1.1705956 +0.06773631j]",[7.84803438 1.17255374 3.47826907 ... 3.18401724 3.47826907 1.17255374],0.7114236064468304,0.7027634397079752,deep
18,-0.0002450616657559894,8.576051915164164e-05,0.015646019530545206,-0.0645882888415931,0.0580448660515455,0.5551742882961959,-0.0570625679623298,"[-1.00083184-0.j         -0.45951568+3.7526j      0.44864648+0.3621574j
 ...  0.23414631-2.45993934j  0.44864648-0.3621574j
 -0.45951568-3.7526j    ]",[1.00083184 3.78062976 0.57657753 ... 2.47105768 0.57657753 3.78062976],0.6469930070372368,0.7624959336579531,deep
19,-0.0009143192862363223,-0.0011447181167239,0.015621203622417874,-0.059700908236015,0.0545215523588638,0.17684673244528382,0.10560221198666671,"[-3.73407996-0.j         -0.26494051+1.32688687j  0.83401039+0.44544549j
 ...  1.23674654+0.37363191j  0.83401039-0.44544549j
 -0.26494051-1.32688687j]",[3.73407996 1.3530788  0.9455131  ... 1.2919531  0.9455131  1.3530788 ],0.7740767473116925,0.6330917700233907,deep
20,-0.0009747469213403051,-0.0013588177758219,0.015617549449563544,-0.054623648219577,0.0655637380150775,0.3807733578749466,0.11713312942655844,"[-3.98086643-0.j          3.0767652 +1.16064735j  0.17260516-0.05310887j
 ... -0.05919705-0.7570801j   0.17260516+0.05310887j
  3.0767652 -1.16064735j]",[3.98086643 3.2884018  0.18059096 ... 0.75939092 0.18059096 3.2884018 ],0.7101600358079254,0.7040402854533861,deep
21,-5.265222864859434e-05,0.0003053535818307,0.015647850015674467,-0.055133077698212,0.0512431027366637,0.025197275999843338,-0.03815124310268862,"[-0.2150317 -0.j          1.06884615-1.09026207j -1.52868185-0.37172098j
 ... -0.18160342+0.006273j   -1.52868185+0.37172098j
  1.06884615+1.09026207j]",[0.2150317  1.52679516 1.57322747 ... 0.18171173 1.57322747 1.52679516],0.7727149966194522,0.6347531283888246,deep
22,0.0006203500693622116,0.0004257651964449,0.015635637120426763,-0.055224897674059,0.0737086519011479,0.419889043210397,0.09931003996933271,"[ 2.53350968-0.j         -1.67337777+1.09382446j  2.63732655+2.36694153j
 ...  0.74417477+0.00941019j  2.63732655-2.36694153j
 -1.67337777-1.09382446j]",[2.53350968 1.9991611  3.54371324 ... 0.74423427 3.54371324 1.9991611 ],0.72690232705577,0.6867408586365791,deep
23,-0.000774855224977074,-0.0007532060059664,0.01562874216789537,-0.0554934805135448,0.057174632656412,0.29846774587811087,0.04808935538654,"[-3.16450874-0.j          2.80037376+0.39590134j  0.77075179-0.94320676j
 ...  3.14542252+1.08844068j  0.77075179+0.94320676j
  2.80037376-0.39590134j]",[3.16450874 2.82822048 1.21807115 ... 3.32842094 1.21807115 2.82822048],0.778121991683502,0.6281131793383257,deep
24,2.2116797081797572e-05,-0.00012511676934449999,0.01564792296816136,-0.047645962306545,0.0523460072602425,-0.06571150908658652,0.03149088126368743,"[ 0.090325  -0.j         -1.70240034+0.2426148j  -1.98826546-2.64909167j
 ...  1.02047187-2.21710776j -1.98826546+2.64909167j
 -1.70240034-0.2426148j ]",[0.090325   1.71960137 3.31223281 ... 2.44068221 3.31223281 1.71960137],0.6911563666439121,0.7227052489414934,deep
25,-0.0005154905358294397,-0.0002336224295352,0.01563944538267567,-0.05879507798967,0.0585528183935802,0.2427041403478558,-0.028968770441345607,"[-2.10526335-0.j          3.7735491 +2.12174951j -2.50321416-0.2143632j
 ... -0.93859811-0.12301287j -2.50321416+0.2143632j
  3.7735491 -2.12174951j]",[2.10526335 4.3291447  2.51237591 ... 0.94662484 2.51237591 4.3291447 ],0.7509977456698124,0.6603047675118358,deep
26,-0.0001678441732016007,-5.22172555173756e-05,0.015647038400404958,-0.0586040523740551,0.0614481921853798,0.7571924111986759,0.015599202796049892,"[-0.6854756 -0.j          1.67242839-0.12241811j  1.58712436+2.98884419j
 ...  1.05608022-0.05231609j  1.58712436-2.98884419j
  1.67242839+0.12241811j]",[0.6854756  1.67690278 3.38410303 ... 1.05737524 3.38410303 1.67690278],0.6950709375167815,0.7189411601929201,deep
